id,name,description,season,category,brand_id,launch_date,theme
eco_chic_001_spring_collection,Pacific Bloom,"The Pacific Bloom collection celebrates the vibrant colors and textures of the Pacific Northwest in springtime. Featuring versatile pieces that effortlessly transition from work to weekend adventures, this collection embodies our commitment to sustainability and inclusivity.",Spring,Everyday|Work|Active,eco_chic_001,2024-03-01,Inspired by the natural flora and fresh energy of spring in the Pacific Northwest
eco_fusion_spring_2024,Eco Fusion,"The Eco Fusion collection blends urban style with nature-inspired elements, featuring versatile pieces that transition seamlessly from work to play. Crafted from sustainable materials, each item reflects our commitment to eco-conscious fashion while celebrating the vibrant spirit of the Pacific Northwest.",Spring,Everyday|Work,nature_woven,2024-03-15,Nature Meets Urban Chic
001,Pacific Trails Collection,"Inspired by the breathtaking landscapes of the Pacific Northwest, the Pacific Trails Collection features versatile pieces designed for both urban exploration and outdoor adventures. Each item is crafted from sustainable materials, ensuring you look good while caring for the planet.",All-Season,Everyday|Active|Outdoor,002,2024-04-15,Nature's Palette
spring_sustainable_style_2024,Spring Sustainable Style,"Embrace the freshness of spring with our Sustainable Style collection, featuring lightweight layering pieces and vibrant accents inspired by the blooming Pacific Northwest. Each item is crafted with eco-friendly materials to ensure you look good while caring for the planet.",Spring,Everyday|Work|Outdoor,sister_brand_001,2024-03-15,Blooming Flora and Functionality
collection_001,Pacific Harmony,"Inspired by the serene landscapes of the Pacific Northwest, the Pacific Harmony collection combines effortless style with eco-conscious materials. Each piece is designed for versatility, allowing you to transition seamlessly from urban adventures to nature escapes.",Spring|Summer,Everyday|Outdoor,unique_brand_001,2024-03-15,Natural elements and tranquil vibes of the Pacific Northwest
eco_chic_collection_001,Pacific Spirit,"Inspired by the serene landscapes and vibrant culture of the Pacific Northwest, the Pacific Spirit collection blends effortless style with eco-conscious materials. Each piece is designed to transition seamlessly from urban adventures to outdoor escapades, empowering you to explore with confidence.",All-Season,Everyday|Work|Active|Outdoor,eco_chic_id_001,2024-03-15,"Embracing the harmony of nature and urban life, this collection reflects the rugged beauty and vibrant spirit of the Pacific Northwest."
eco_urban_explore,Eco Urban Explore,"The Eco Urban Explore collection combines effortless style with functional design, perfect for the eco-conscious individual navigating both city streets and nature trails. Inspired by the dynamic landscapes of the Pacific Northwest, this collection features versatile pieces that can seamlessly transition from work to play.",Spring|Summer|Fall,Everyday|Work|Active|Outdoor,sustainable_sunrise,2024-04-01,Urban exploration meets sustainable adventure
spring_2024_pnw_vibes,Pacific Northwest Essence,"Inspired by the lush landscapes and vibrant urban life of the Pacific Northwest, this collection features versatile pieces that seamlessly transition from city streets to forest trails. Each item is crafted with eco-innovative materials, promoting sustainability and style in every wear.",Spring,Everyday,eco_chic_001,2024-03-15,Nature-inspired urban exploration
evergreen_escape_001,Evergreen Escape,"Inspired by the serene landscapes of the Pacific Northwest, the Evergreen Escape collection combines comfort and style for the modern explorer. Versatile pieces are designed to transition seamlessly from city streets to nature trails, ensuring you feel confident and ready for any adventure.",Spring|Summer|Fall,Everyday|Outdoor,nature_woven,2024-04-01,Nature-inspired versatility and eco-conscious exploration
001,Pacific Pulse,"The Pacific Pulse collection celebrates the vibrant energy of the Pacific Northwest, blending effortless style with sustainable materials. Each piece is designed for versatility, transitioning seamlessly from city streets to nature trails, empowering wearers to embrace their adventure.",Spring|Summer,Everyday|Outdoor,002,2024-03-15,Embracing the natural beauty and dynamic spirit of the Pacific Northwest.
spring_2024_evergreen_escape,Evergreen Escape,"The Evergreen Escape collection captures the essence of the Pacific Northwest, blending urban sophistication with the spirit of adventure. Each piece is designed for effortless wear, perfect for spontaneous outings or a day at the office, while prioritizing sustainability and inclusivity.",Spring,Everyday|Work|Outdoor,sister_brand_001,2024-03-15,"Inspired by the lush landscapes and vibrant culture of the Pacific Northwest, with a focus on eco-friendly materials and versatile styles."
collection_001,Evergreen Essentials,"The Evergreen Essentials collection features versatile, eco-conscious pieces that effortlessly transition from urban outings to spontaneous adventures. Inspired by the lush landscapes and vibrant lifestyle of the Pacific Northwest, this collection emphasizes comfort, style, and sustainability.",All-Season,Everyday|Work,unique_brand_001,2024-03-15,"Inspired by the harmonious blend of urban life and nature, celebrating sustainability and inclusivity."
fe_collection_001,Pacific Peaks,"Inspired by the majestic mountains and lush forests of the Pacific Northwest, the Pacific Peaks collection combines effortless style with eco-conscious materials. Each piece is designed for versatility, seamlessly transitioning from urban adventures to outdoor excursions.",Spring,Everyday|Outdoor,eco_chic_id_001,2024-03-15,"Mountain and forest aesthetics, celebrating nature's beauty and sustainable living"
fierce_evergreen_spring_vibes,Spring Awakening,"Embrace the renewal of spring with our Spring Awakening collection, featuring versatile pieces that transition seamlessly from urban adventures to outdoor escapades. Each item is designed with eco-friendly materials that celebrate the vibrant colors and fresh energy of the Pacific Northwest.",Spring,Everyday,sustainable_sunrise,2024-03-15,"Inspired by the blooming landscapes and refreshing rains of the Pacific Northwest, celebrating growth and new beginnings."
eco_chic_spring_2024,Pacific Pulse,"The Pacific Pulse collection celebrates the vibrant energies of spring with versatile, eco-conscious pieces inspired by the lush landscapes and urban vibes of the Pacific Northwest. Each item is designed to effortlessly transition from city streets to nature trails, empowering wearers to embrace their adventures with confidence and style.",Spring,Everyday,eco_chic_001,2024-03-15,Inspired by the awakening of nature and urban exploration during springtime.
collection_pnw_001,Pacific Dawn,"Inspired by the serene mornings of the Pacific Northwest, the Pacific Dawn collection features versatile pieces that seamlessly transition from urban adventures to outdoor escapes. Each garment is crafted with eco-friendly materials, ensuring both style and sustainability.",Spring,Everyday|Outdoor,nature_woven,2024-03-15,"Embracing the tranquility of early spring mornings in the Pacific Northwest, with soft hues and lightweight fabrics."
001,Pacific Pulse,"The Pacific Pulse collection captures the vibrant essence of the Pacific Northwest, featuring versatile pieces that effortlessly transition from urban adventures to serene nature escapes. Crafted with sustainable materials, this collection embodies fierce confidence and inclusivity for every body.",Spring|Summer,Everyday|Outdoor,002,2024-04-01,Inspired by the lush landscapes and dynamic culture of the Pacific Northwest
spring_2024_evergreen_escape,Evergreen Escape,"Immerse yourself in the tranquility of the Pacific Northwest with our Evergreen Escape collection. This line features versatile, eco-conscious pieces perfect for transitioning from urban landscapes to nature's embrace, celebrating both comfort and style.",Spring,Everyday|Outdoor,sister_brand_001,2024-03-15,"Inspired by the lush greenery and serene landscapes of the Pacific Northwest, blending urban functionality with outdoor adventure."
collection_001,Pacific Trails,"The Pacific Trails collection captures the essence of the great outdoors while seamlessly transitioning into urban life. With versatile pieces designed for both adventure and everyday wear, this collection embraces the spirit of exploration while prioritizing sustainability.",Spring|Summer|All-Season,Everyday|Active|Outdoor,unique_brand_001,2024-03-15,"Inspired by the breathtaking landscapes and vibrant culture of the Pacific Northwest, this collection features earth-toned hues and functional designs that celebrate both nature and modern living."
collection_001,Pacific Wanderlust,"The Pacific Wanderlust collection captures the spirit of adventure and exploration found in the Pacific Northwest. With versatile pieces designed for both urban environments and outdoor escapades, this collection emphasizes sustainability and style for the eco-conscious individual.",All-Season,Everyday|Active|Outdoor,eco_chic_id_001,2024-03-15,"Inspired by the breathtaking landscapes and vibrant culture of the Pacific Northwest, blending functionality with eco-friendly materials."
